CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,Occupation
3164846,No,34.91,619.0,18.0,53.0,0.0,Other
3203230,Yes,43.24,405.0,40.0,0.0,0.0,Other
3371590,No,73.47,1281.0,71.0,0.0,0.0,Other
3138302,No,776.27,3978.0,160.0,2278.0,22.9,Other
3375774,No,189.2,1474.0,95.0,0.0,0.0,Other
3064366,Yes,37.55,295.0,50.0,46.0,0.0,Other
3143078,No,60.53,130.0,70.0,0.0,0.0,Retired
3362622,No,74.98,556.0,77.0,31.0,0.0,Other
3277682,No,41.45,354.0,45.0,17.0,0.0,Other
3229778,No,98.84,1276.0,55.0,174.0,0.0,Other
3114146,No,54.34,489.0,60.0,6.0,0.0,Other
3161470,No,80.54,1464.0,33.0,43.0,0.0,Other
3397170,No,83.51,290.0,93.0,0.0,0.0,Professional
3075770,No,51.66,641.0,60.0,4.0,0.0,Other
3059938,No,30.0,156.0,30.0,0.0,0.0,Other
3109270,Yes,188.27,932.0,170.0,0.0,0.0,Self
3187590,No,85.7,338.0,52.0,8.0,0.0,Other
3363206,Yes,44.23,1318.0,40.0,0.0,0.0,Clerical
3028394,No,56.19,578.0,55.0,0.0,0.0,Other
3363846,No,49.57,345.0,60.0,0.0,0.0,Other
3390618,Yes,19.99,0.0,30.0,0.0,0.0,Other
3071754,Yes,42.17,156.0,30.0,33.0,0.5,Other
3058226,Yes,55.1,273.0,40.0,48.0,0.2,Other
3005598,Yes,75.9,1257.0,75.0,0.0,0.0,Other
3332646,No,60.53,185.0,70.0,0.0,0.0,Other
3274822,No,30.83,273.0,40.0,0.0,0.8,Professional
3394258,No,52.72,1501.0,62.0,0.0,0.0,Crafts
3130874,No,30.0,156.0,30.0,0.0,0.0,Other
3179758,Yes,90.3,340.0,80.0,81.0,0.0,Other
3056178,Yes,54.09,412.0,40.0,46.0,0.0,Professional
3310646,No,31.24,162.0,45.0,0.0,0.0,Other
3029442,No,38.05,192.0,30.0,22.0,0.2,Other
3085598,Yes,70.63,462.0,34.0,70.0,0.0,Other
3359402,No,79.5,539.0,55.0,69.0,0.1,Retired
3286826,No,40.54,88.0,52.0,0.0,0.0,Other
3065718,No,43.06,110.0,35.0,0.0,3.3,Crafts
3017298,No,50.19,462.0,60.0,0.0,0.2,Other
3005422,No,25.23,14.0,25.0,0.0,0.0,Other
3374246,No,144.83,1292.0,95.0,172.0,0.0,Professional
3271750,Yes,84.99,0.0,95.0,0.0,0.0,Other
3090802,Yes,140.25,1272.0,78.0,178.0,17.4,Other
3194018,No,10.25,231.0,10.0,0.0,0.0,Other
3142386,No,59.99,52.0,70.0,0.0,0.0,Retired
3200190,No,52.67,1090.0,60.0,0.0,0.0,Professional
3397858,No,30.17,32.0,30.0,0.0,0.0,Other
3277238,Yes,34.59,16.0,45.0,0.0,0.0,Other
3267278,No,35.3,370.0,40.0,4.0,0.0,Other
3299686,Yes,59.4,788.0,66.0,14.0,4.0,Other
3251326,Yes,29.99,172.0,30.0,0.0,0.0,Self
3091166,No,9.12,8.0,8.0,7.0,0.0,Other
3048238,Yes,20.24,0.0,17.0,0.0,0.0,Crafts
3348810,No,57.66,312.0,68.0,0.0,0.0,Other
3238678,No,43.0,226.0,40.0,38.0,0.0,Professional
3333130,No,10.0,0.0,10.0,0.0,0.0,Other
3086586,No,28.5,328.0,30.0,0.0,0.0,Other
3213958,Yes,34.74,228.0,41.0,0.0,0.0,Professional
3307106,No,32.81,283.0,40.0,1.0,2.4,Other
3144614,No,137.66,1269.0,70.0,240.0,0.0,Other
3210982,No,22.95,732.0,10.0,37.0,0.0,Other
3062322,No,28.88,40.0,17.0,24.0,0.6,Other
3165022,Yes,59.02,872.0,70.0,10.0,0.0,Other
3281126,No,33.85,266.0,40.0,10.0,0.0,Other
3316610,No,35.24,335.0,45.0,0.0,0.0,Other
3224354,Yes,53.27,362.0,52.0,0.0,0.0,Professional
3113986,Yes,38.25,803.0,41.0,0.0,0.0,Other
3288454,No,68.59,476.0,72.0,1.0,1.5,Professional
3028894,Yes,50.45,162.0,50.0,0.0,0.0,Other
3279850,No,32.39,418.0,40.0,0.0,0.0,Other
3145018,No,53.04,183.0,50.0,0.0,0.0,Other
3155282,No,106.67,773.0,80.0,31.0,36.4,Crafts
3059922,No,84.42,701.0,50.0,113.0,0.0,Other
3110186,Yes,65.73,595.0,50.0,50.0,0.4,Other
3066190,No,46.4,973.0,45.0,0.0,0.6,Other
3388990,No,11.07,394.0,10.0,0.0,0.0,Other
3368498,Yes,19.99,3.0,20.0,0.0,0.0,Professional
3273910,Yes,22.49,234.0,30.0,0.0,0.0,Other
3271450,No,53.59,199.0,40.0,59.0,0.0,Other
3020478,No,42.45,176.0,32.0,14.0,6.2,Other
3391138,No,2.19,7.0,0.0,6.0,0.0,Other
