CustomerID,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls
3389874,0.0,1.0,7.7,0.7
3282042,15.3,1.7,152.0,5.7
3054454,8.7,0.3,30.3,0.0
3091842,6.0,1.7,19.3,0.0
3382382,0.7,0.7,5.0,0.0
3196822,5.7,8.7,49.3,0.3
3236974,0.0,1.3,13.3,0.0
3357910,15.7,27.0,91.0,8.0
3100234,4.7,5.0,10.3,0.0
3209694,1.0,22.7,24.0,1.0
3067162,2.0,9.7,9.3,3.7
3216166,2.7,0.0,6.3,0.0
3078114,8.3,0.0,3.7,1.7
3288446,0.0,0.0,0.0,0.0
3307206,14.7,4.0,42.3,0.0
3140210,1.0,0.3,11.0,0.0
3195490,2.3,0.3,10.7,0.0
3329482,0.0,0.7,3.0,0.3
3377746,0.0,1.3,0.3,0.7
3028842,1.0,7.7,28.3,0.0
3089434,6.7,0.7,26.3,2.3
3019022,3.7,0.0,9.3,0.7
3238382,0.0,0.0,2.0,0.0
3012910,1.0,2.7,9.3,0.0
3080794,0.7,0.0,9.7,0.0
3187322,2.0,0.0,24.3,2.7
3124618,5.0,4.7,17.0,0.0
3124554,10.7,2.0,42.7,0.0
3055542,0.0,0.0,2.7,0.0
3203058,1.3,1.7,13.7,1.0
3233278,15.0,9.0,47.3,1.0
3356930,3.0,3.7,36.3,0.0
3103426,1.0,0.0,1.7,0.0
3177918,11.0,61.0,16.3,2.3
3124478,22.0,0.3,3.3,8.7
3000794,0.0,0.0,0.0,0.0
3116486,4.7,1.7,10.3,0.0
3166806,1.0,1.3,9.0,1.3
3073158,0.0,0.0,0.0,0.0
3226290,9.7,3.7,32.7,2.0
3132350,0.7,0.0,48.3,1.3
3338030,3.7,0.0,7.0,0.7
3126390,1.7,0.7,10.7,0.3
3045282,0.3,6.7,3.3,0.0
3386946,4.0,0.0,1.0,0.0
3198278,23.3,3.3,30.3,2.3
3069838,8.0,1.0,29.3,1.3
3238210,12.7,2.0,17.0,0.0
3263350,0.0,0.0,0.0,0.0
3323062,52.0,10.0,269.0,31.3
3037238,0.3,2.3,4.3,0.3
3014442,1.7,0.3,6.0,0.0
3158786,0.3,0.3,7.3,2.7
3278322,26.7,2.0,60.3,2.3
3058298,1.3,8.3,25.7,0.0
3063326,15.0,1.7,123.3,4.3
3125274,5.7,1.0,4.3,0.0
3192174,5.3,2.7,24.7,0.0
3000638,1.7,0.7,23.0,2.7
3263850,0.7,1.7,7.0,0.0
3122734,8.0,56.7,17.3,0.0
3270798,12.3,1.0,41.0,0.0
3390570,0.0,0.0,0.0,0.0
3192650,0.0,0.0,0.0,0.0
3049118,1.0,0.0,4.3,0.0
3246110,0.3,2.7,9.3,0.7
3252294,15.7,16.0,135.0,0.0
3286650,7.0,0.3,20.3,1.7
3347830,4.7,0.0,9.3,0.0
3057602,11.3,12.0,40.3,0.0
3353450,5.0,25.3,8.0,0.7
3066366,1.7,1.0,20.3,2.3
3079662,1.7,5.0,23.7,0.0
3149962,0.7,3.3,7.0,0.0
3094634,2.7,1.0,6.7,0.0
3181294,3.0,19.7,42.7,8.7
3306186,14.0,0.7,50.0,0.3
3163974,0.3,0.7,1.3,0.0
3326410,9.7,0.7,9.3,0.0
3142570,26.7,5.3,64.0,0.0
3132162,6.0,0.3,26.7,4.0
3250246,2.7,7.7,33.3,0.0
3068266,3.0,0.0,16.7,1.7
3125338,0.7,0.0,1.0,0.0
3312226,1.3,0.3,20.0,0.7
3063250,27.0,0.0,11.3,0.0
3237126,0.0,0.0,0.0,0.7
3192322,3.7,0.0,5.7,0.0
3241386,27.0,24.0,222.7,6.7
3328710,0.7,1.7,6.7,0.0
3391554,0.0,0.0,0.0,0.0
3383866,3.0,0.0,14.3,5.7
3213802,5.7,0.0,17.0,0.0
3077354,2.0,0.3,5.3,0.0
3098942,8.0,11.3,15.0,0.3
3011058,21.0,10.7,44.7,0.3
3320058,14.7,2.3,44.3,1.3
3157506,1.0,3.0,11.0,0.0
3109330,1.0,0.7,4.7,0.7
3364654,26.7,2.0,124.3,11.7
3191030,0.3,0.3,10.7,0.0
3279422,26.3,4.0,41.3,3.3
3234918,0.0,0.0,0.7,0.0
3235286,9.0,2.0,68.7,0.0
3047602,29.7,2.7,128.7,1.3
3313958,26.7,0.0,0.0,5.3
3144174,2.0,1.0,30.3,0.0
3175990,2.7,4.0,10.3,0.0
3131238,4.3,0.7,9.0,0.0
3106738,0.7,0.0,4.7,0.0
3292450,0.0,0.0,0.0,0.0
3163238,2.7,0.3,12.3,0.0
3327794,4.3,9.3,12.7,0.0
3320958,1.0,1.0,12.3,0.0
3206786,9.3,10.3,70.0,0.0
3379178,5.0,2.3,52.0,0.0
3073010,0.0,2.3,1.3,0.0
3160706,0.0,1.3,14.3,0.0
3093470,5.3,0.7,16.3,3.0
3379918,6.3,1.3,45.3,3.7
3168722,0.3,3.3,20.7,0.0
3144674,4.3,0.0,25.7,0.3
3349462,0.0,0.0,0.0,0.0
3093162,1.0,1.0,42.0,0.0
3186254,1.3,0.3,2.7,0.0
3000674,3.0,0.0,19.3,0.0
3014814,9.7,43.0,340.7,16.0
3388102,23.0,2.3,116.0,18.0
3153334,2.7,0.3,3.3,0.0
3091410,4.0,0.7,4.0,0.0
3109478,12.0,3.7,63.7,0.0
3367818,3.0,8.3,25.0,0.0
3151510,16.7,7.7,50.3,10.3
3324622,1.3,0.3,16.0,0.0
3380806,4.3,10.3,32.7,0.0
3025130,6.0,0.3,7.7,1.0
3168326,8.0,5.7,37.3,8.0
3159478,0.7,0.7,3.3,3.3
3210378,2.0,1.0,10.7,0.0
3316538,0.0,0.0,0.0,0.0
3196414,1.0,0.0,10.3,0.0
3366222,18.7,3.0,129.7,8.7
3061642,8.3,0.3,17.0,5.7
3003102,15.7,9.0,45.0,0.0
3220878,3.0,19.0,36.3,0.3
3286870,19.0,0.7,28.7,6.3
3337734,1.3,2.0,14.3,0.0
3384146,1.7,1.3,53.7,16.7
3105694,4.0,3.3,70.0,0.7
3385982,3.0,0.7,19.7,0.0
3246106,18.0,153.7,140.7,10.0
3183326,2.0,0.7,12.3,22.0
3327274,12.7,1.3,128.0,25.7
3260686,0.0,0.0,0.0,0.0
3085354,4.0,2.7,13.3,0.0
3168194,7.0,2.0,39.3,0.0
3092534,1.3,0.7,6.0,0.0
3097466,6.0,1.3,16.0,0.0
3126958,1.0,2.3,3.0,0.0
3305246,2.7,0.0,6.7,0.0
3384826,32.7,6.0,167.3,12.7
3023210,0.0,0.0,3.7,0.0
3263506,9.0,1.7,48.0,7.7
3313162,0.7,0.0,0.3,0.0
3167482,5.0,0.0,18.0,0.0
3367350,9.0,1.3,34.7,3.7
3326178,0.7,0.7,8.0,0.0
3358838,1.3,15.0,12.3,0.0
3062246,0.7,0.0,4.0,0.0
3121954,3.7,0.0,7.7,0.0
3368826,13.3,0.0,53.7,2.7
3235850,0.0,1.3,4.0,0.0
3174518,0.7,10.3,25.0,0.0
3363466,3.3,0.0,9.7,1.3
3056910,3.7,0.7,12.7,0.0
3262818,0.0,0.0,0.0,0.0
3024534,4.0,2.7,41.3,0.3
3198222,1.3,2.7,5.7,0.0
3299866,5.0,8.7,31.0,0.0
3372330,1.7,0.7,17.7,6.7
3186426,0.0,0.0,0.0,0.0
3215910,0.7,0.7,3.3,0.0
3155810,5.3,0.3,20.0,0.0
3014018,12.0,0.7,10.7,0.3
3109686,2.3,0.3,11.0,0.3
3219106,4.7,14.7,42.0,9.3
3319602,8.0,12.3,6.3,3.0
3224006,5.0,1.7,76.3,0.3
3080814,0.0,0.3,0.3,0.0
3172622,5.7,0.0,1.0,2.0
3358166,8.3,4.3,22.7,5.3
3051578,0.7,2.0,18.0,1.3
3258210,7.7,1.0,42.3,0.0
3307146,2.0,5.7,39.3,0.0
3071534,2.7,12.3,16.7,11.0
3036146,0.3,0.7,5.3,0.0
3371606,0.0,0.0,0.0,0.0
3097338,10.0,61.7,12.3,0.0
3265034,0.0,0.0,0.0,0.0
3223254,0.0,0.7,2.0,0.0
3022874,11.3,4.0,35.0,0.3
3326638,8.7,0.3,29.0,2.0
3370634,11.0,3.3,99.0,0.0
3088794,3.7,0.0,2.0,0.0
3192506,3.0,0.0,20.3,0.3
3271742,9.7,7.7,15.0,0.3
3164326,19.3,3.0,82.0,3.7
3061474,3.7,10.7,33.3,0.0
3079854,3.0,0.3,12.7,3.3
3305802,2.3,0.0,4.0,0.0
3311306,3.3,10.0,42.0,0.3
3221818,0.0,4.7,18.7,2.0
3119030,41.3,4.3,176.0,11.7
3391402,0.0,0.0,0.3,0.0
3070230,1.7,18.7,14.0,2.0
3227930,2.7,4.7,25.0,2.0
3294002,14.3,2.0,36.7,7.7
3368018,4.3,6.3,31.3,0.0
3066534,1.7,0.0,10.7,0.0
3244154,3.0,0.0,9.7,1.0
3335582,11.0,5.3,55.3,0.7
3107942,2.0,0.3,15.0,1.7
3342002,3.7,3.3,17.7,0.7
3146686,0.0,0.7,4.3,0.0
3180594,0.0,0.3,0.3,0.0
3063366,0.0,2.3,18.3,4.3
3389090,0.7,3.3,14.7,6.7
3234614,6.3,36.7,24.3,5.7
3387902,0.0,0.0,4.3,0.0
3313882,13.0,1.3,32.0,5.0
3265290,0.0,0.0,0.0,0.0
3068290,1.0,0.7,35.3,0.0
3015958,0.7,0.0,1.0,0.0
3324206,5.3,11.0,22.0,0.0
3388318,12.7,2.3,37.3,1.3
3364998,0.3,0.7,6.0,0.0
3191166,4.0,0.0,2.3,32.0
3192542,4.7,0.7,68.3,2.0
3369506,1.3,0.0,33.3,0.0
3013010,1.7,0.0,3.3,0.0
3067610,1.0,0.7,2.7,0.0
3399874,0.0,0.0,0.0,0.0
3101670,18.7,18.3,28.7,1.3
3381722,17.7,0.0,5.7,7.3
3095222,4.7,0.0,7.0,0.0
3239482,17.0,1.0,53.0,13.0
3276794,3.3,24.3,21.3,0.0
3060714,1.0,3.7,11.0,0.0
3208654,79.3,36.3,57.3,8.0
3267806,11.7,0.7,36.3,19.0
3063134,12.0,3.0,9.7,1.3
3143710,2.0,0.0,2.7,1.3
3241262,4.0,1.0,23.0,0.3
3141082,0.7,0.3,33.3,1.0
3169494,7.0,5.3,14.3,0.0
3305626,0.3,0.0,0.3,0.0
3316790,1.0,0.7,7.3,1.7
3260846,0.0,0.0,0.0,0.0
3099062,11.7,1.0,28.3,0.0
3087474,0.3,0.0,1.3,0.0
3398950,1.0,0.3,18.7,0.0
3200998,2.0,0.0,17.0,7.3
3246778,2.0,0.0,5.7,0.3
3119322,15.7,2.3,34.3,0.0
3100474,3.7,0.7,28.7,0.0
3122150,13.0,2.3,51.7,0.0
3035506,0.0,3.3,11.0,0.0
3106694,1.3,0.0,13.3,0.0
3305706,21.3,2.0,19.0,0.7
3067122,0.0,0.3,8.3,0.0
3006818,22.3,0.0,10.3,0.0
3243570,3.0,0.0,6.3,0.0
3283974,0.0,0.0,0.0,0.0
3272654,0.0,0.0,0.0,0.0
3370130,5.3,0.3,31.7,0.0
3283006,0.0,0.0,0.0,0.0
3066698,3.3,1.0,7.3,0.0
3385062,4.7,8.3,63.0,0.0
3015726,3.3,4.0,30.7,1.3
3266418,0.0,0.0,0.0,0.0
3210294,0.3,8.0,5.3,0.0
3278822,0.3,0.0,1.0,0.0
3007446,6.3,6.7,41.7,0.3
3008986,1.7,0.0,2.3,2.0
3131282,1.3,1.3,6.7,2.0
3343742,11.0,2.3,15.7,0.3
3320890,6.3,2.3,23.0,0.0
3012678,0.3,5.0,2.3,0.7
3161718,4.0,0.7,7.0,0.7
3013110,0.7,0.0,0.0,0.0
3124350,9.7,1.7,15.3,1.7
3103646,9.7,0.7,29.0,0.7
3320494,8.3,1.0,17.0,0.7
3082538,5.0,1.3,15.7,0.0
