id,gender,has_car_and_property,income_type,education_type,family_status,housing_type,occupation_type,amount_income_total
6604643,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1350000.0
6604646,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1350000.0
6604645,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1350000.0
6423956,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,837000.0
6423944,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,837000.0
6423960,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,837000.0
6423945,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,837000.0
5868052,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,585000.0
5868051,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,585000.0
6223668,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,562500.0
5791702,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,459000.0
5529424,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
5113407,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
5113405,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
5113409,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
6087626,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,450000.0
6087623,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,450000.0
5010864,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,450000.0
5702119,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
6108687,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
6108690,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
6801279,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,450000.0
6263700,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,450000.0
5113412,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
